AGP,Malaga
AUH,Abu Dhabi Intl
ATL,Hartsfield - Jackson Atlanta I
PVR,Lic Gustavo Diaz Ordaz Intl
PEK,Beijing Capital
DEN,Denver Intl
DTW,Detroit Metro Wayne Co
HER,Unknown airport with code DSS
TPA,Tampa Intl
SFB,Orlando Sanford
MDW,Chicago Midway Intl
LOS,Murtala Muhammed
FLL,Ft Lauderdale-hollywood Intl
FCO,Fiumicino
MLB,Melbourne Intl
BUR,Bob Hope
ORF,Norfolk Intl
ECP,NW Florida Beaches International
CVG,Cincinnati/northern Ky Intl
BIO,Bilbao
MAD,Barajas
EYW,Key West Intl
IAD,Washington Dulles Intl
LEX,Blue Grass
BDL,Bradley International
MCT,Muscat Intl
MSY,Armstrong New Orleans Intl
DFW,Dallas-ft Worth Intl
ORD,Chicago-o'hare Intl
MTY,Gen Mariano Escobedo Intl
MCI,Kansas City Intl
CDG,Charles-de-gaulle
PHX,Phoenix Sky Harbor Intl
DCA,Ronald Reagan Washington Natl
SBN,South Bend Regl
MSP,Minneapolis/St. Paul Intl
EWR,Newark Liberty Intl
PIT,Pittsburgh Intl
SNN,Shannon
BRU,Brussels National
BOS,Logan Intl
EIS,TERRANCE B LETTSOME INTL
ACC,Kotoka Intl
PVD,Green State
ABE,Lehigh Valley Intl
PRN,Pristina
CPH,Kastrup
BGY,Orio Al Serio
AZS,El Catey Intl
DUB,Dublin Intl
CHS,Charleston Afb/intl
LUX,Luxembourg
DEL,Indira Gandhi Intl
RDU,Raleigh-durham Intl
FSD,Foss
JAN,Jackson-evers Intl
PHL,Philadelphia Intl
MAZ,Eugenio Maria De Hostos
CLT,Charlotte/douglas Intl
PNS,Pensacola Regl
PVG,PuDong
NEV,Vance Winkworth Amory
GRU,Guarulhos-gov. Andre Franco Mo
LCA,Larnaca Intl
TZX,Unknown airport with code DSS
GJT,Grand Junction Regl
ADD,Bole Intl
TUN,Carthage
HPN,Westchester Co
OAK,Metro Oakland Intl
GEO,Cheddi Jagan Intl
LWB,Greenbrier Valley
PIK,Unknown airport with code DSS
SBZ,Sibiu
DSA,Doncaster Sheffield
BFS,Aldergrove
ZRH,Zurich
BOG,Eldorado Intl
MKE,Gen Mitchell Intl
CUN,Cancun Intl
LGA,La Guardia
DSS,Unknown airport with code DSS
YYZ,Toronto/pearson Intl
SVQ,San Pablo
CRA,Unknown airport with code DSS
NCE,Nice/cote D'azur
MSN,Dane Co Regl-truax
EGE,Eagle Co Regl
LIM,Jorge Chavez Intl
SLC,Salt Lake City Intl
JFK,Kennedy Intl
MYR,Myrtle Beach Intl
AUS,Austin-bergstrom Intl
TYS,Mc Ghee Tyson
MDT,Harrisburg Intl
SWF,Stewart
ROC,Greater Rochester Intl
CNF,Tancredo Neves Intl
JAX,Jacksonville Intl
TLV,Ben Gurion
MCO,Orlando Intl
SPS,Sheppard Afb/wichita Falls Mun
NKG,Lukou
DJE,Zarzis
TBS,Tbilisi
BTR,Baton Rouge Metro-ryan
SBH,St. Barthelemy
SJU,Luis Munoz Marin Intl
MLA,Luqa
JNB,O.r. Tambo Intl
MIA,Miami Intl
AMS,Schiphol
SAP,Ramon Villeda Morales Intl
ELH,North Eleuthera
RSD,Rock Sound Intl
STR,Stuttgart
BCN,Barcelona
SJD,Los Cabos Intl
SGF,Springfield-branson Natl
MEM,Memphis Intl
POS,Piarco Intl
LAX,Los Angeles Intl
CRP,Corpus Christi Intl
EDI,Edinburgh
YUL,Montreal/pierre-elliott-trudea
EWB,Unknown airport with code DSS
CLL,Easterwood
PSA,San Giusto
BNA,Nashville Intl
CLE,Cleveland-hopkins Intl
KRK,Balice
FRA,Frankfurt/main
OPO,Francisco Sa Carneiro
GSO,Piedmont Triad Intl
NAS,Lynden Pindling Intl
RIC,Richmond Intl
GDL,Don Miguel Hidalgo Intl
SDF,Louisville Intl-standiford
YOW,Ottawa/macdonald-cartier Intl
CAE,Columnbia Metro
SAL,El Salvador Intl
IND,Indianapolis Intl
ATW,Outagamie Co Regl
LAS,Mc Carran Intl
MZT,Gen Rafael Buelna Intl
SJC,Mineta San Jose Intl
PBI,Palm Beach Intl
ROS,Islas Malvinas
SEA,Seattle-tacoma Intl
LIT,Adams
YTZ,Toronto/city Centre
DAL,Dallas Love
BPS,Porto Seguro
GDN,Lecha Walesy
MTJ,Montrose Regl
LCG,A Coruna
EZE,Ezeiza Intl Ministro Pistarini
STL,Lambert-st Louis Intl
STT,King
SAV,Savannah/hilton Head Intl
JAC,Jackson Hole
MEX,Lic Benito Juarez Intl
MUC,Munich
SEZ,Seychelles Intl
MVY,Martha's Vineyard
DUJ,Dubois Regl
BGR,Bangor Intl
HOU,Hobby
TAO,Liuting
LEJ,Leipzig-halle
MAN,Manchester
GRR,Gerald R. Ford Intl
BUD,Ferihegy
