SDR,Santander
FRA,Frankfurt/main
OMA,Eppley
YQQ,Comox
CPH,Kastrup
CZM,Cozumel Intl
PVR,Lic Gustavo Diaz Ordaz Intl
ATH,Eleftherios Venizelos Intl
YUL,Montreal/pierre-elliott-trudea
IND,Indianapolis Intl
BDL,Bradley International
SEA,Seattle-tacoma Intl
SSG,Malabo
ATL,Hartsfield - Jackson Atlanta I
GIG,Canavieiras
CLT,Charlotte/douglas Intl
BOS,Logan Intl
MDW,Chicago Midway Intl
PHX,Phoenix Sky Harbor Intl
PHL,Philadelphia Intl
CAG,Elmas Mil
EYW,Key West Intl
HDN,Yampa Valley
DFW,Dallas-ft Worth Intl
SJD,Los Cabos Intl
DCA,Ronald Reagan Washington Natl
SJU,Luis Munoz Marin Intl
IAD,Washington Dulles Intl
LHR,Heathrow
MIA,Miami Intl
LIR,Daniel Oduber Quiros Intl
HUX,Bahias De Huatulco Intl
SWO,Unknown airport with code DSS
LAX,Los Angeles Intl
COS,City Of Colorado Springs Mun
PBI,Palm Beach Intl
PIE,International
CUN,Cancun Intl
DAY,Cox-dayton Intl
MBJ,Sangster Intl
EGE,Eagle Co Regl
JIB,Unknown airport with code DSS
CDG,Charles-de-gaulle
DSM,Des Moines Intl
SKB,Bradshaw Intl
FKL,Venango Regl
LGW,Gatwick
FIH,N'djili Intl
POP,Gregorio Luperon Intl
ICT,Wichita Mid-continent
TMS,Sao Tome International
ORD,Chicago-o'hare Intl
MUC,Munich
CMF,Unknown airport with code DSS
LIS,Lisbon
YHZ,Stanfield Intl
ADD,Bole Intl
MYR,Myrtle Beach Intl
LGA,La Guardia
JAN,Jackson-evers Intl
MFR,Rogue Valley Intl-medford
PSP,Palm Springs Intl
BHM,Birmingham-shuttlesworth Intl
CVG,Cincinnati/northern Ky Intl
PAP,Toussaint Louverture Intl
PIT,Pittsburgh Intl
JFK,Kennedy Intl
MAD,Barajas
SXM,Princess Juliana Intl
PVC,Provincetown
DUS,Dusseldorf
SBA,Santa Barbara Mun
RZE,Jasionka
MCI,Kansas City Intl
AMS,Schiphol
AGP,Malaga
AUG,Augusta State
DAR,Julius Nyerere Intl
YYZ,Toronto/pearson Intl
TPA,Tampa Intl
BJL,Banjul Intl
MEX,Lic Benito Juarez Intl
GNV,Gainesville Regl
TLV,Ben Gurion
PUJ,Punta Cana Intl
BTV,Burlington Intl
TYS,Mc Ghee Tyson
UVF,Hewanorra Intl
CLO,Alfonso Bonilla Aragon Intl
PLS,Providenciales Intl
LAS,Mc Carran Intl
BWI,Baltimore/Washington Intl
SJO,Juan Santamaria Intl
SBP,San Luis Obispo Co Regl
GCK,Garden City Regl
VPS,Eglin Afb
CLE,Cleveland-hopkins Intl
GSP,Greenville-spartanburg Intl-ro
DTW,Detroit Metro Wayne Co
PTY,Tocumen Intl
TLS,Blagnac
MSP,Minneapolis/St. Paul Intl
MEM,Memphis Intl
RMU,Unknown airport with code DSS
YOW,Ottawa/macdonald-cartier Intl
HOU,Hobby
SFO,San Francisco Intl
SAP,Ramon Villeda Morales Intl
EBB,Entebbe Intl
SAL,El Salvador Intl
NAS,Lynden Pindling Intl
MSY,Armstrong New Orleans Intl
